FID,id,codigo,simt,tipo,clasificac,comuna,zona,eje,desde,hacia,sentido,fila_super,fila_infer,grupo_de_p,identifica,nombre_ust,x,y,zona_paga,n__et,corredor,ubica_corr,rts,tipo_rts,rm,estado_rm,estado,existe_se,codigo_ant,fecha_fich,cod_sol_pa,comentario
6949,6114,L-30-38-15-NS,PG1440,PS,ACTIVO,SAN BERNARDO,G,LOS SUSPIROS,AVENIDA CENTRAL,LOS VI¥EDOS,N-S,LOS VI¥EDOS,LOS SUSPIROS,-,-,LOS VI¥EDOS / LOS SUSPIROS,343102.53,6278445.67,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6950,6115,L-30-38-15-SN,PG1442,PS,ACTIVO,SAN BERNARDO,G,LOS SUSPIROS,RINCONADA DE NOS,LOS VI¥EDOS,S-N,LOS VI¥EDOS,LOS SUSPIROS,-,-,LOS VI¥EDOS / LOS SUSPIROS,343156.85,6278432.25,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6951,6116,L-30-38-20-NS,PG1582,PS,ACTIVO,SAN BERNARDO,G,LOS SUSPIROS,LAS µGUILAS,RINCONDA DE NOS,N-S,LAS µGUILAS,LOS SUSPIROS,-,-,LAS µGUILAS / LOS SUSPIROS,343029.53,6278245.15,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6952,6117,L-30-38-20-SN,PG1443,PS,ACTIVO,SAN BERNARDO,G,LOS SUSPIROS,RINCONADA DE NOS,LAS AGUILAS,S-N,LAS µGUILAS,LOS SUSPIROS,-,-,LAS µGUILAS / LOS SUSPIROS,343071.49,6278244.06,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6953,6118,L-30-39-5-SN,PG745,PS,ACTIVO,SAN BERNARDO,G,MAIPé,LIBER BERNARDO O HIGGINS,COLON,S-N,AV. COLàN,MAIPé,-,-,AV. COLàN / MAIPé,341618.05,6282043.7,0,,,,1,Refugio 4(m),0,,CON REFUGIO,UC-Jul/2011-Reposici¢n,,,6019,
6954,6119,L-30-39-10-SN,PG1402,PS,ACTIVO,SAN BERNARDO,G,MAIPé,ARTURO PRAT,O'HIGGINS,S-N,O'HIGGINS,MAIPé,-,-,O'HIGGINS / MAIPé,341553.91,6281865.39,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6955,6120,L-30-39-15-SN,PG1401,PS,ACTIVO,SAN BERNARDO,G,MAIPé,SAN JOSE,COVADONGA,S-N,COVADONGA,MAIPé,-,-,COVADONGA / MAIPé,341466.33,6281546.35,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6956,6121,L-30-40-5-NS,,PS,INACTIVO,SAN BERNARDO,G,MARTÖN DE SOLÖS,FERNANDO DE LUQUE,STA MARTA,N-S,SANTA MARTA,MARTÖN DE SOLÖS,-,-,SANTA MARTA / MARTÖN DE SOLÖS,343840.82,6282130.24,0,,,,1,Refugio 4(m),0,,CON REFUGIO,,,,,
6957,6122,L-30-40-10-SN,PG1288,PS,ACTIVO,SAN BERNARDO,G,MARTÖN DE SOLÖS,RODRIGO DE QUIROGA,STA MARTA,S-N,SANTA MARTA,MARTÖN DE SOLÖS,-,-,SANTA MARTA / MARTÖN DE SOLÖS,343841.25,6282090.48,0,,,,,,0,,SàLO SE¥AL,SERVIU-Dic/2010,,,,
6958,6123,L-30-40-15-NS,PG970,PS,ACTIVO,SAN BERNARDO,G,MARTÖN DE SOLÖS,ALONSO DE SOTO,BALMACEDA,N-S,BALMACEDA,MARTÖN DE SOLÖS,-,-,BALMACEDA / MARTÖN DE SOLÖS,343711.45,6281897.43,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
